mission_02_RedStairAlign_0008604,,53,-124,0x0003
mission_02_RedStairAlign_0008605,,1,56,0x0000
mission_02_RedStairAlign_0008606,X,X,0x0000
mission_02_RedStairAlign_0008607,,12,-1,0x0004
mission_02_RedStairAlign_0008608,,-1,68,0x0000
mission_02_RedStairAlign_0008609,,-3,69,0x0000
mission_02_RedStairAlign_0008610,,-7,88,0x0005
