mission_06_BallDetect_0006900,xÁÂÇ¥,yÁÂÇ¥
,93,35,0x0010
mission_06_BallDetect_0006901,xÁÂÇ¥,yÁÂÇ¥
,75,60,0x0008
mission_06_BallDetect_0006902,xÁÂÇ¥,yÁÂÇ¥
,48,103,0x0006
mission_06_BallDetect_0006903,xÁÂÇ¥,yÁÂÇ¥
,63,104,0x0006
mission_06_BallDetect_0006904,xÁÂÇ¥,yÁÂÇ¥
,83,104,0x0006
